match_id,group_id,round_in_group,team_a,team_b,expected_goals_a,expected_goals_b,actual_goals_a,actual_goals_b,predicted_tv_viewers,expected_margin,actual_margin,direction_correct,elo_margin,elo_direction_correct
GA01,A,1,Mexico,South Africa,1.9,0.82,2,0,150447576.57630873,1.08,2,True,242,True
GA02,A,1,South Korea,Czechia,1.61,0.97,2,1,165818268.24929234,0.6400000000000001,1,True,175,True
GA03,A,2,Mexico,South Korea,1.39,1.13,1,0,179677696.18029016,0.26,1,True,52,True
GA04,A,2,South Africa,Czechia,1.18,1.33,1,1,152815627.70708072,-0.15000000000000013,0,False,-15,False
GA05,A,3,Mexico,Czechia,1.79,0.87,3,0,156779103.4531627,0.92,3,True,227,True
GA06,A,3,South Africa,South Korea,0.91,1.71,1,0,158686212.68423516,-0.7999999999999999,1,False,-190,False
GB01,B,1,Canada,Bosnia and Herzegovina,1.43,1.09,1,1,170115715.66876176,0.33999999999999986,0,False,131,False
GB02,B,1,Qatar,Switzerland,0.75,2.08,1,1,160879849.5485012,-1.33,0,False,-256,False
GB03,B,2,Canada,Qatar,1.49,1.05,6,0,171878422.4855618,0.43999999999999995,6,True,82,True
GB04,B,2,Bosnia and Herzegovina,Switzerland,0.78,2.0,1,4,163183140.23883286,-1.22,-3,True,-305,True
GB05,B,3,Canada,Switzerland,0.9,1.74,1,2,182590347.8375725,-0.84,-1,True,-174,True
GB06,B,3,Bosnia and Herzegovina,Qatar,1.3,1.2,3,1,154775727.7113414,0.10000000000000009,2,True,-49,False
GC01,C,1,Brazil,Morocco,1.44,1.09,1,1,199753895.7877214,0.34999999999999987,0,False,123,False
GC02,C,1,Haiti,Scotland,0.9,1.74,0,1,147018171.66752687,-0.84,-1,True,-220,True
GC03,C,2,Brazil,Haiti,2.84,0.55,3,0,157237426.3513799,2.29,3,True,529,True
GC04,C,2,Morocco,Scotland,1.77,0.88,1,0,180465898.40640327,0.89,1,True,186,True
GC05,C,3,Brazil,Scotland,2.03,0.77,3,0,175969375.59573624,1.2599999999999998,3,True,309,True
GC06,C,3,Morocco,Haiti,2.47,0.63,4,2,157935064.38119677,1.8400000000000003,2,True,406,True
GD01,D,1,United States,Paraguay,1.56,1.0,4,1,181388903.7411077,0.56,3,True,81,True
GD02,D,1,Australia,Turkey,1.15,1.36,2,0,184254758.3210234,-0.2100000000000002,2,False,-66,False
GD03,D,2,United States,Australia,1.6,0.98,2,0,180653590.2619328,0.6200000000000001,2,True,141,True
GD04,D,2,Paraguay,Turkey,1.19,1.32,1,0,185643452.4268677,-0.13000000000000012,1,False,-6,False
GD05,D,3,United States,Turkey,1.48,1.06,2,3,189023159.38559672,0.41999999999999993,-1,False,75,False
GD06,D,3,Paraguay,Australia,1.29,1.21,0,0,180791723.1157347,0.08000000000000007,0,False,60,False
GE01,E,1,Germany,Curacao,2.69,0.58,7,1,157812042.2171985,2.11,6,True,498,True
GE02,E,1,Ivory Coast,Ecuador,1.09,1.43,1,0,184969750.90959743,-0.33999999999999986,1,False,-80,False
GE03,E,2,Germany,Ivory Coast,1.77,0.88,2,1,190033104.2143623,0.89,1,True,227,True
GE04,E,2,Curacao,Ecuador,0.72,2.17,0,0,153155451.778352,-1.45,0,False,-351,False
GE05,E,3,Germany,Ecuador,1.55,1.01,1,2,195935824.4811381,0.54,-1,False,147,False
GE06,E,3,Curacao,Ivory Coast,0.82,1.9,0,2,155488891.24784356,-1.08,-2,True,-271,True
GF01,F,1,Netherlands,Japan,1.44,1.08,2,2,205345610.6152872,0.3599999999999999,0,False,88,False
GF02,F,1,Sweden,Tunisia,1.68,0.93,5,1,166182432.87013727,0.7499999999999999,4,True,173,True
GF03,F,2,Netherlands,Sweden,1.57,0.99,5,1,189112392.6686705,0.5800000000000001,4,True,157,True
GF04,F,2,Japan,Tunisia,1.83,0.85,4,0,175494269.9128084,0.9800000000000001,4,True,242,True
GF05,F,3,Netherlands,Tunisia,2.12,0.74,3,1,168879157.6525466,1.3800000000000001,2,True,330,True
GF06,F,3,Japan,Sweden,1.36,1.15,1,1,195143169.3685556,0.2100000000000002,0,False,69,False
GG01,G,1,Belgium,Egypt,2.06,0.76,1,1,177180272.46412906,1.3,0,False,272,False
GG02,G,1,Iran,New Zealand,1.74,0.9,2,2,155658085.86446267,0.84,0,False,241,False
GG03,G,2,Belgium,Iran,1.9,0.82,0,0,179527453.63056913,1.08,0,False,224,False
GG04,G,2,Egypt,New Zealand,1.6,0.98,3,1,153292681.08839545,0.6200000000000001,2,True,193,True
GG05,G,3,Belgium,New Zealand,2.64,0.59,5,1,163470890.37227446,2.0500000000000003,4,True,465,True
GG06,G,3,Egypt,Iran,1.15,1.36,1,1,170842570.3973316,-0.2100000000000002,0,False,-48,False
GH01,H,1,Spain,Cape Verde,2.47,0.63,0,0,164470378.13295665,1.8400000000000003,0,False,504,False
GH02,H,1,Saudi Arabia,Uruguay,0.76,2.05,1,1,171547102.29801285,-1.2899999999999998,0,False,-310,False
GH03,H,2,Spain,Saudi Arabia,2.3,0.68,4,0,165371058.20682704,1.6199999999999997,4,True,422,True
GH04,H,2,Cape Verde,Uruguay,0.71,2.21,2,2,160468965.8942925,-1.5,0,False,-392,False
GH05,H,3,Spain,Uruguay,1.4,1.12,1,0,206157228.90999636,0.2799999999999998,1,True,112,True
GH06,H,3,Cape Verde,Saudi Arabia,1.16,1.34,0,0,152982654.5184385,-0.18000000000000016,0,False,-82,False
GI01,I,1,France,Senegal,1.66,0.94,3,1,186854212.7972026,0.72,2,True,189,True
GI02,I,1,Iraq,Norway,0.84,1.85,1,4,159235523.93201354,-1.0100000000000002,-3,True,-223,True
GI03,I,2,France,Iraq,2.63,0.59,3,0,160544184.21315685,2.04,3,True,487,True
GI04,I,2,Senegal,Norway,1.34,1.17,2,3,181997406.9302665,0.17000000000000015,-1,False,75,False
GI05,I,3,France,Norway,1.78,0.88,4,1,177185035.36536792,0.9,3,True,264,True
GI06,I,3,Senegal,Iraq,1.98,0.79,5,0,161084359.2991389,1.19,5,True,298,True
GJ01,J,1,Argentina,Algeria,2.18,0.72,3,0,170718785.0531197,1.4600000000000002,3,True,347,True
GJ02,J,1,Austria,Jordan,1.88,0.83,3,1,166535417.48275575,1.0499999999999998,2,True,324,True
GJ03,J,2,Argentina,Austria,1.74,0.9,2,0,193756640.7217681,0.84,2,True,162,True
GJ04,J,2,Algeria,Jordan,1.5,1.04,2,1,166367044.5003642,0.45999999999999996,1,True,139,True
GJ05,J,3,Argentina,Jordan,2.62,0.6,3,1,166934934.48101538,2.02,2,True,486,True
GJ06,J,3,Algeria,Austria,1.0,1.56,3,3,182564339.50038797,-0.56,0,False,-185,False
GK01,K,1,Portugal,DR Congo,2.68,0.58,1,1,156038737.38391468,2.1,0,False,407,False
GK02,K,1,Uzbekistan,Colombia,0.78,2.0,1,3,177479345.7313522,-1.22,-2,True,-294,True
GK03,K,2,Portugal,Uzbekistan,2.25,0.69,5,0,161432798.7628463,1.56,5,True,343,True
GK04,K,2,DR Congo,Colombia,0.66,2.38,0,1,162698219.0794463,-1.7199999999999998,-1,True,-358,True
GK05,K,3,Portugal,Colombia,1.41,1.11,0,0,198161379.52010256,0.2999999999999998,0,False,49,False
GK06,K,3,DR Congo,Uzbekistan,1.05,1.49,3,1,155652075.3652373,-0.43999999999999995,2,False,-64,False
GL01,L,1,England,Croatia,1.38,1.14,4,2,197629264.4458609,0.24,2,True,51,True
GL02,L,1,Ghana,Panama,1.59,0.98,1,0,147210607.69912377,0.6100000000000001,1,True,126,True
GL03,L,2,England,Ghana,2.03,0.77,0,0,171591524.4348337,1.2599999999999998,0,False,328,False
GL04,L,2,Croatia,Panama,2.35,0.66,1,0,147213867.8699952,1.69,1,True,403,True
GL05,L,3,England,Panama,2.59,0.6,2,0,153756034.74008626,1.9899999999999998,2,True,454,True
GL06,L,3,Croatia,Ghana,1.85,0.85,2,1,165978155.63721523,1.0,1,True,277,True
