match_id,team_a,team_b,attendance,tv_viewers,team_a_pred,team_b_pred,predicted_tv_viewers,ratio,ape
GA01,Mexico,South Africa,36933,87606988,Mexico,South Africa,150447576.57630873,0.5823090673419039,0.4176909326580961
GA02,South Korea,Czechia,38157,106530845,South Korea,Czechia,165818268.24929234,0.6424554189640962,0.3575445810359038
GA03,Mexico,South Korea,47173,122917619,Mexico,South Korea,179677696.18029016,0.684100595750423,0.31589940424957696
GA04,South Africa,Czechia,46017,118522260,South Africa,Czechia,152815627.70708072,0.7755899169369329,0.2244100830630671
GB01,Canada,Bosnia and Herzegovina,39999,105369103,Canada,Bosnia and Herzegovina,170115715.66876176,0.6193966417845125,0.3806033582154875
GB02,Qatar,Switzerland,42193,99763398,Qatar,Switzerland,160879849.5485012,0.6201112089548783,0.37988879104512174
GB03,Canada,Qatar,44025,123496401,Canada,Qatar,171878422.4855618,0.7185102074716447,0.28148979252835526
GB04,Bosnia and Herzegovina,Switzerland,28786,97277632,Bosnia and Herzegovina,Switzerland,163183140.23883286,0.5961255057209074,0.4038744942790926
GC01,Brazil,Morocco,52380,133182295,Brazil,Morocco,199753895.7877214,0.6667319026485117,0.3332680973514883
GC02,Haiti,Scotland,36688,91490696,Haiti,Scotland,147018171.66752687,0.6223087592661738,0.3776912407338262
GC03,Brazil,Haiti,26560,77962946,Brazil,Haiti,157237426.3513799,0.4958294460109993,0.5041705539890007
GC04,Morocco,Scotland,51292,111044210,Morocco,Scotland,180465898.40640327,0.6153196309140472,0.3846803690859528
GD01,United States,Paraguay,49371,116301752,United States,Paraguay,181388903.7411077,0.6411734654176799,0.35882653458232006
GD02,Australia,Turkey,45586,128086395,Australia,Turkey,184254758.3210234,0.695159225016255,0.30484077498374496
GD03,United States,Australia,50191,109086583,United States,Australia,180653590.2619328,0.6038439803041471,0.3961560196958529
GD04,Paraguay,Turkey,59036,131878012,Paraguay,Turkey,185643452.4268677,0.7103833196161441,0.2896166803838559
GE01,Germany,Curacao,35162,79475227,Germany,Curacao,157812042.2171985,0.5036068596756219,0.4963931403243781
GE02,Ivory Coast,Ecuador,59570,135465279,Ivory Coast,Ecuador,184969750.90959743,0.7323644992429472,0.2676355007570528
GE03,Germany,Ivory Coast,39078,117893150,Germany,Ivory Coast,190033104.2143623,0.6203821722925362,0.3796178277074638
GE04,Curacao,Ecuador,43533,94204139,Curacao,Ecuador,153155451.778352,0.6150883818117889,0.38491161818821107
GF01,Netherlands,Japan,43515,146211612,Netherlands,Japan,205345610.6152872,0.7120269654749323,0.28797303452506773
GF02,Sweden,Tunisia,38819,114623959,Sweden,Tunisia,166182432.87013727,0.6897477490269536,0.31025225097304643
GF03,Netherlands,Sweden,42499,121587599,Netherlands,Sweden,189112392.6686705,0.6429382933831546,0.35706170661684544
GF04,Japan,Tunisia,41166,113974760,Japan,Tunisia,175494269.9128084,0.6494500364976394,0.35054996350236056
GG01,Belgium,Egypt,39597,120072836,Belgium,Egypt,177180272.46412906,0.6776873877102163,0.3223126122897837
GG02,Iran,New Zealand,35907,108062101,Iran,New Zealand,155658085.86446267,0.6942273534963915,0.30577264650360847
GG03,Belgium,Iran,44583,114610547,Belgium,Iran,179527453.63056913,0.6384012287939266,0.3615987712060734
GG04,Egypt,New Zealand,41552,105155682,Egypt,New Zealand,153292681.08839545,0.6859797953391037,0.3140202046608963
GH01,Spain,Cape Verde,37623,101397777,Spain,Cape Verde,164470378.13295665,0.6165108766153062,0.38348912338469376
GH02,Saudi Arabia,Uruguay,36529,101370195,Saudi Arabia,Uruguay,171547102.29801285,0.5909175593295594,0.40908244067044064
GH03,Spain,Saudi Arabia,28334,89327580,Spain,Saudi Arabia,165371058.20682704,0.5401645304118413,0.4598354695881587
GH04,Cape Verde,Uruguay,21668,93521600,Cape Verde,Uruguay,160468965.8942925,0.5828017864937606,0.4171982135062394
GI01,France,Senegal,40717,120139877,France,Senegal,186854212.7972026,0.6429604941815827,0.35703950581841726
GI02,Iraq,Norway,41166,103580842,Iraq,Norway,159235523.93201354,0.650488279513712,0.349511720486288
GI03,France,Iraq,40088,89961089,France,Iraq,160544184.21315685,0.5603509678093188,0.4396490321906812
GI04,Senegal,Norway,41484,117312130,Senegal,Norway,181997406.9302665,0.6445813266171914,0.35541867338280864
GJ01,Argentina,Algeria,41665,115942951,Argentina,Algeria,170718785.0531197,0.6791458301669847,0.3208541698330153
GJ02,Austria,Jordan,37966,106211562,Austria,Jordan,166535417.48275575,0.6377716140231725,0.3622283859768275
GJ03,Argentina,Austria,52675,123097102,Argentina,Austria,193756640.7217681,0.6353181059572857,0.36468189404271434
GJ04,Algeria,Jordan,34939,110159491,Algeria,Jordan,166367044.5003642,0.6621473100687248,0.33785268993127515
GK01,Portugal,DR Congo,27747,77155723,Portugal,DR Congo,156038737.38391468,0.4944651840534159,0.5055348159465841
GK02,Uzbekistan,Colombia,42635,113105682,Uzbekistan,Colombia,177479345.7313522,0.6372892661617445,0.3627107338382555
GK03,Portugal,Uzbekistan,39258,100365936,Portugal,Uzbekistan,161432798.7628463,0.6217196057378842,0.3782803942621158
GK04,DR Congo,Colombia,37686,89625188,DR Congo,Colombia,162698219.0794463,0.5508676647298494,0.4491323352701506
GL01,England,Croatia,44341,138865687,England,Croatia,197629264.4458609,0.7026575107151768,0.2973424892848232
