match_id,group_id,team_a,team_b,venue_id,slot_id,reference_date,slot_gap_hours,actual_venue,actual_city,copt_venue_id,copt_slot_id,copt_reference_date,demo_venue_id,demo_slot_id,venue_agree_copt,slot_agree_copt,date_agree_copt,venue_repaired_for_feasibility
GA01,A,Mexico,South Africa,V08,S012,2026-06-11,0.0,Estadio Azteca,Mexico City,V01,S014,2026-06-11,V01,S011,False,False,True,False
GA02,A,South Korea,Czechia,V04,S014,2026-06-11,1.0,Estadio Akron,Guadalajara (Zapopan),V02,S011,2026-06-11,V02,S011,False,False,True,False
GA03,A,Mexico,South Korea,V04,S084,2026-06-18,0.0,Estadio Akron,Guadalajara (Zapopan),V09,S081,2026-06-18,V09,S082,False,False,True,False
GA04,A,South Africa,Czechia,V01,S081,2026-06-18,0.0,Mercedes-Benz Stadium,Atlanta,V10,S084,2026-06-18,V10,S082,False,False,True,False
GA05,A,Mexico,Czechia,V08,S144,2026-06-24,0.0,Estadio Azteca,Mexico City,V01,S151,2026-06-25,V01,S152,False,False,False,False
GA06,A,South Africa,South Korea,V10,S144,2026-06-24,0.0,Estadio BBVA,Monterrey (Guadalupe),V02,S151,2026-06-25,V02,S152,False,False,False,False
GB01,B,Canada,Bosnia and Herzegovina,V15,S022,2026-06-12,0.0,BMO Field,Toronto,V03,S014,2026-06-11,V03,S012,False,False,False,False
GB02,B,Qatar,Switzerland,V13,S032,2026-06-13,0.0,Levi's Stadium,San Francisco Bay Area (Santa Clara),V04,S011,2026-06-11,V04,S012,False,False,False,False
GB03,B,Canada,Qatar,V16,S083,2026-06-18,0.0,BC Place,Vancouver,V11,S081,2026-06-18,V11,S083,False,False,True,False
GB04,B,Bosnia and Herzegovina,Switzerland,V07,S082,2026-06-18,0.0,SoFi Stadium,Los Angeles (Inglewood),V12,S081,2026-06-18,V12,S083,False,False,True,False
GB05,B,Canada,Switzerland,V16,S142,2026-06-24,0.0,BC Place,Vancouver,V03,S151,2026-06-25,V03,S153,False,False,False,False
GB06,B,Bosnia and Herzegovina,Qatar,V14,S142,2026-06-24,0.0,Lumen Field,Seattle,V04,S154,2026-06-25,V04,S153,False,False,False,False
GC01,C,Brazil,Morocco,V11,S033,2026-06-13,0.0,MetLife Stadium,New York/New Jersey (East Rutherford),V08,S021,2026-06-12,V07,S022,False,False,False,False
GC02,C,Haiti,Scotland,V02,S034,2026-06-13,0.0,Gillette Stadium,Boston (Foxborough),V05,S021,2026-06-12,V05,S022,False,False,False,False
GC03,C,Brazil,Haiti,V12,S094,2026-06-19,0.5,Lincoln Financial Field,Philadelphia,V13,S091,2026-06-19,V13,S091,False,False,True,False
GC04,C,Morocco,Scotland,V02,S093,2026-06-19,0.0,Gillette Stadium,Boston (Foxborough),V08,S091,2026-06-19,V14,S091,False,False,True,False
GC05,C,Brazil,Scotland,V09,S143,2026-06-24,0.0,Hard Rock Stadium,Miami (Miami Gardens),V05,S164,2026-06-26,V05,S161,False,False,False,False
GC06,C,Morocco,Haiti,V01,S143,2026-06-24,0.0,Mercedes-Benz Stadium,Atlanta,V06,S164,2026-06-26,V06,S161,False,False,False,False
GD01,D,United States,Paraguay,V07,S024,2026-06-12,0.0,SoFi Stadium,Los Angeles (Inglewood),V08,S024,2026-06-12,V08,S023,False,True,True,False
GD02,D,Australia,Turkey,V16,S034,2026-06-13,3.0,BC Place,Vancouver,V09,S021,2026-06-12,V09,S023,False,False,False,False
GD03,D,United States,Australia,V14,S092,2026-06-19,0.0,Lumen Field,Seattle,V08,S094,2026-06-19,V03,S092,False,False,True,True
GD04,D,Paraguay,Turkey,V13,S094,2026-06-19,2.0,Levi's Stadium,San Francisco Bay Area (Santa Clara),V07,S094,2026-06-19,V07,S092,False,True,True,True
GD05,D,United States,Turkey,V07,S154,2026-06-25,1.0,SoFi Stadium,Los Angeles (Inglewood),V07,S161,2026-06-26,V07,S162,True,False,False,False
