actual_based_match_id,actual_based_team_a,actual_based_team_b,actual_based_updated_p_team_a_advance,actual_based_updated_p_team_b_advance,actual_based_stakeless_risk,actual_based_collusion_risk,delivered_match_id,delivered_team_a,delivered_team_b,delivered_updated_p_team_a_advance,delivered_updated_p_team_b_advance,delivered_stakeless_risk,delivered_collusion_risk
GA05,Mexico,Czechia,1.0,0.12525,0.7808751250000001,0.02562140517476616,GA05,Mexico,Czechia,1.0,1.0,1.0,0.65
GA06,South Africa,South Korea,0.16525,0.9594,0.6462118450000001,0.001957651486394441,GA06,South Africa,South Korea,0.2312,0.53105,0.146435085,0.0
GB05,Canada,Switzerland,1.0,1.0,1.0,0.65,GB05,Canada,Switzerland,0.35265,1.0,0.543424045,0.8052758744952481
GB06,Bosnia and Herzegovina,Qatar,0.39575,0.33465,0.07641737,0.0,GB06,Bosnia and Herzegovina,Qatar,0.59925,0.3202,0.0843572049999999,0.012224068481291
GC05,Brazil,Scotland,1.0,0.8311,0.71925442,0.748260953,GC05,Brazil,Scotland,1.0,0.07865,0.855071645,0.0151858135057302
GC06,Morocco,Haiti,1.0,0.00725,0.985605125,0.0,GC06,Morocco,Haiti,0.9629,0.2131,0.5931760399999999,0.704153000087828
GD05,United States,Turkey,1.0,0.071,0.868082,0.0,GD05,United States,Turkey,1.0,1.0,1.0,0.65
GD06,Paraguay,Australia,0.8314,0.92965,0.588850165,0.7932320423880606,GD06,Paraguay,Australia,0.31705,0.6272,0.0993010849999999,0.0
GE05,Germany,Ecuador,1.0,0.16715,0.721578245,0.008782661107881982,GE05,Germany,Ecuador,1.0,0.95175,0.908156125,0.68214535625
GE06,Curacao,Ivory Coast,0.12195,0.96515,0.7185726499999999,0.0,GE06,Curacao,Ivory Coast,0.0024,1.0,0.99521152,0.0
GF05,Netherlands,Tunisia,1.0,0.0,1.0,0.0,GF05,Netherlands,Tunisia,1.0,0.06715,0.874718245,0.0011975153670252
GF06,Japan,Sweden,1.0,0.96595,0.934218805,0.67302341825,GF06,Japan,Sweden,0.9381,0.31875,0.4495663450000001,0.0016537772753764
GG05,Belgium,New Zealand,0.95215,0.04835,0.8168546900000001,0.0020189874124913834,GG05,Belgium,New Zealand,1.0,0.78465,0.662051245,0.76828206425
GG06,Egypt,Iran,1.0,0.66555,0.554813605,0.7948462286636558,GG06,Egypt,Iran,0.80785,0.15605,0.4261464499999999,0.0
GH05,Spain,Uruguay,1.0,0.53925,0.503081125,0.8149154262313308,GH05,Spain,Uruguay,1.0,0.9845,0.9694805,0.660681825
GH06,Cape Verde,Saudi Arabia,0.65095,0.3565,0.08675630500000003,0.0,GH06,Cape Verde,Saudi Arabia,0.02295,0.9638,0.8853742849999999,0.0
GI05,France,Norway,1.0,1.0,1.0,0.65,GI05,France,Norway,1.0,1.0,1.0,0.65
GI06,Senegal,Iraq,0.6263,0.06935,0.4028222249999999,0.0,GI06,Senegal,Iraq,0.88875,0.05665,0.69537157,0.0
GJ05,Argentina,Jordan,1.0,0.01315,0.974045845,0.0,GJ05,Argentina,Jordan,1.0,1.0,1.0,0.65
GJ06,Algeria,Austria,0.77415,0.97565,0.6028022900000001,0.7880556744479955,GJ06,Algeria,Austria,0.22295,0.50275,0.15352853,0.0
GK05,Portugal,Colombia,1.0,1.0,1.0,0.65,GK05,Portugal,Colombia,1.0,1.0,1.0,0.65
GK06,DR Congo,Uzbekistan,0.33595,0.15175,0.29638093,0.0,GK06,DR Congo,Uzbekistan,0.2891,0.1275,0.3664701199999999,0.0
GL05,England,Panama,1.0,0.0066,0.98688712,0.0,GL05,England,Panama,1.0,0.582,0.513448,0.8202932000000001
GL06,Croatia,Ghana,0.9635,0.99995,0.9295645050000001,0.67465242325,GL06,Croatia,Ghana,1.0,0.0991,0.8214416200000001,0.0
