actual_team,actual_points,actual_gf,actual_ga,actual_s,synthetic_team,synthetic_points,synthetic_gf,synthetic_ga,synthetic_s,points_equal,points_delta
Algeria,3,2,4,0.48379356520312644,Algeria,0,1,3,0.25051258570492024,False,3
Argentina,6,5,0,0.993704826513268,Argentina,6,2,0,0.9630236424698262,True,0
Australia,3,2,2,0.6000000000000001,Australia,2,3,3,0.4884459939032231,False,1
Austria,3,3,3,0.6000000000000001,Austria,0,2,4,0.36102979040555205,False,3
Belgium,2,1,1,0.5249999999999999,Belgium,6,7,0,0.9438951118623675,False,-4
Bosnia and Herzegovina,1,2,5,0.30411044377287283,Bosnia and Herzegovina,1,2,3,0.37588021659030496,True,0
Brazil,4,4,1,0.8208895562271272,Brazil,4,5,2,0.8067865333521715,True,0
Canada,4,7,1,0.847143100096394,Canada,2,1,1,0.5637161471739867,False,2
Cape Verde,2,2,2,0.5249999999999999,Cape Verde,0,1,6,0.21329268714299332,False,2
Colombia,6,4,1,0.9708895562271271,Colombia,6,2,0,0.9835269820318846,True,0
Croatia,3,3,4,0.5335089316053356,Croatia,4,5,3,0.7142226929731215,False,-1
Curacao,1,1,7,0.27785689990360596,Curacao,0,0,5,0.23777758045418068,False,1
Czechia,1,2,3,0.3835089316053356,Czechia,4,2,1,0.6945184550024197,False,-3
DR Congo,1,1,2,0.3835089316053356,DR Congo,0,0,2,0.21249803380165652,False,1
Ecuador,1,0,1,0.3835089316053356,Ecuador,3,2,2,0.7030597439831836,False,-2
Egypt,4,4,2,0.7912064347968735,Egypt,3,3,5,0.5627770979549682,False,1
England,4,4,2,0.7912064347968735,England,4,3,1,0.7900230459825186,True,0
France,6,6,1,0.993704826513268,France,4,5,2,0.8111304116510072,False,2
Germany,6,9,2,0.9987105160351974,Germany,4,5,1,0.8013658911998416,False,2
Ghana,4,1,0,0.7414910683946643,Ghana,0,0,3,0.33844599390322305,False,4
Haiti,0,0,4,0.21370800297886752,Haiti,2,2,2,0.36888674721025594,False,-2
Iran,2,2,2,0.5249999999999999,Iran,0,1,6,0.361029790405552,False,2
Iraq,0,1,7,0.20285689990360598,Iraq,0,1,7,0.2466586664016797,True,0
Ivory Coast,3,2,2,0.6000000000000001,Ivory Coast,4,3,2,0.5897910271487796,False,-1
Japan,4,6,2,0.8362919970211324,Japan,3,2,2,0.5804815449975804,False,1
Jordan,0,2,5,0.22911044377287285,Jordan,6,5,3,0.7414024978705129,False,-6
Mexico,6,3,0,0.9708895562271271,Mexico,6,2,0,0.895051600013338,True,0
Morocco,4,2,1,0.7414910683946643,Morocco,3,2,4,0.6270806771294055,False,1
Netherlands,4,7,3,0.8362919970211324,Netherlands,6,4,0,0.8555666612219575,False,-2
New Zealand,1,3,5,0.3337935652031264,New Zealand,3,4,4,0.46670545179377343,False,-2
Norway,6,7,3,0.9862919970211323,Norway,4,4,1,0.6638152667208257,False,2
Panama,0,0,2,0.2587935652031264,Panama,3,3,4,0.48340326536109696,False,-3
Paraguay,3,2,4,0.48379356520312644,Paraguay,0,2,6,0.2969073682064636,False,3
Portugal,4,6,1,0.8437048265132678,Portugal,6,8,1,0.9788507588119313,False,-2
Qatar,1,1,7,0.27785689990360596,Qatar,1,1,2,0.3236341088001585,True,0
Saudi Arabia,1,1,5,0.2887080029788675,Saudi Arabia,3,1,1,0.44521530521619884,False,-2
Scotland,3,1,1,0.6000000000000001,Scotland,1,1,2,0.5003383674047645,False,2
Senegal,0,3,6,0.22911044377287285,Senegal,2,2,2,0.5180037309455463,False,-2
South Africa,1,1,3,0.3337935652031264,South Africa,1,0,1,0.3442356390044964,True,0
South Korea,3,2,2,0.6000000000000001,South Korea,0,1,3,0.4034454333132289,False,3
Spain,4,4,0,0.8362919970211324,Spain,6,5,1,0.9828875747962269,False,-2
Sweden,3,6,6,0.6000000000000001,Sweden,1,0,2,0.47912649217941167,False,2
Switzerland,4,5,2,0.8208895562271272,Switzerland,6,4,2,0.9431372280967563,False,-2
Tunisia,0,1,9,0.20058058037806106,Tunisia,1,0,2,0.3637271058318182,False,-1
Turkey,0,0,3,0.22911044377287285,Turkey,4,2,1,0.7649305670986335,False,-4
United States,6,6,1,0.993704826513268,United States,4,7,4,0.6965894600816356,False,2
Uruguay,2,3,3,0.5249999999999999,Uruguay,3,2,1,0.759264300284398,False,-1
Uzbekistan,0,1,8,0.20128948396480262,Uzbekistan,0,1,8,0.22765031026967963,True,0
