reference_date,plan,broadcast_used,broadcast_capacity,broadcast_utilization,security_used,security_capacity,security_utilization,transport_used,transport_capacity,transport_utilization,budget_used,budget_capacity,budget_utilization
2026-06-25,Static,3,3,1.0,2,2,1.0,3,3,1.0,63.0,100,0.63
2026-06-26,Static,3,3,1.0,2,2,1.0,3,3,1.0,61.0,100,0.61
2026-06-27,Static,4,4,1.0,2,3,0.6666666666666666,3,4,0.75,71.0,120,0.5916666666666667
2026-06-28,Static,4,4,1.0,3,3,1.0,3,4,0.75,74.0,120,0.6166666666666667
2026-06-29,Static,3,3,1.0,2,2,1.0,3,3,1.0,59.0,100,0.59
2026-06-30,Static,3,3,1.0,1,2,0.5,3,3,1.0,56.0,100,0.56
2026-06-25,Dynamic,3,3,1.0,2,2,1.0,3,3,1.0,63.0,100,0.63
2026-06-26,Dynamic,3,3,1.0,2,2,1.0,2,3,0.6666666666666666,58.0,100,0.58
2026-06-27,Dynamic,4,4,1.0,2,3,0.6666666666666666,2,4,0.5,66.0,120,0.55
2026-06-28,Dynamic,4,4,1.0,3,3,1.0,2,4,0.5,71.0,120,0.5916666666666667
2026-06-29,Dynamic,3,3,1.0,2,2,1.0,2,3,0.6666666666666666,56.0,100,0.56
2026-06-30,Dynamic,3,3,1.0,1,2,0.5,2,3,0.6666666666666666,53.0,100,0.53
