match_id,team_a,team_b,updated_p_team_a_advance,updated_p_team_b_advance,stakeless_risk,collusion_risk
GA05,Mexico,Czechia,1.0,1.0,1.0,0.65
GA06,South Africa,South Korea,0.22728,0.53622,0.15137617359999997,0.0
GB05,Canada,Switzerland,0.35266,1.0,0.5434181512,0.8055672933534997
GB06,Bosnia and Herzegovina,Qatar,0.59682,0.32042,0.08324617760000001,0.010607504668828338
GC05,Brazil,Scotland,1.0,0.079,0.854482,0.01249650875881987
GC06,Morocco,Haiti,0.96266,0.21434,0.5913118223999999,0.7033336892523424
GD05,United States,Turkey,1.0,1.0,1.0,0.65
GD06,Paraguay,Australia,0.3116,0.63344,0.10660158720000001,0.0
GE05,Germany,Ecuador,1.0,0.9528,0.9100556799999999,0.681480512
GE06,Curacao,Ivory Coast,0.00208,1.0,0.9958486527999999,0.0
GF05,Netherlands,Tunisia,1.0,0.06852,0.8723499807999999,0.0006811491692490073
GF06,Japan,Sweden,0.93622,0.31706,0.4475098640000001,0.0014790405455961015
GG05,Belgium,New Zealand,1.0,0.78268,0.6598159648,0.76906441232
GG06,Egypt,Iran,0.80746,0.15806,0.42290923039999995,0.0
GH05,Spain,Uruguay,1.0,0.98378,0.9680861768,0.66116983812
GH06,Cape Verde,Saudi Arabia,0.02354,0.96466,0.8858460944,0.0
GI05,France,Norway,1.0,1.0,1.0,0.65
GI06,Senegal,Iraq,0.88476,0.05778,0.6871975720000001,0.0
GJ05,Argentina,Jordan,1.0,1.0,1.0,0.65
GJ06,Algeria,Austria,0.21914,0.51128,0.158019156,0.0
GK05,Portugal,Colombia,1.0,1.0,1.0,0.65
GK06,DR Congo,Uzbekistan,0.28976,0.12328,0.37223763199999993,0.0
GL05,England,Panama,1.0,0.58656,0.5149852672,0.81975515648
GL06,Croatia,Ghana,1.0,0.09614,0.8262057992,0.0
