model,fold,mse,rmse,mae,n_validation
elastic_net,fold_1,301.1605480108536,17.353977872835195,13.551615050431009,122
elastic_net,fold_2,219.0596115929268,14.800662538985437,11.806329429699213,108
elastic_net,fold_3,211.72788198567758,14.550872207042353,11.16258126440656,132
extra_trees,fold_1,278.6973696123395,16.694231626892552,13.15312263036097,122
extra_trees,fold_2,231.1668075509835,15.204170728815942,12.16330008198238,108
extra_trees,fold_3,205.542980801078,14.336770236042636,11.770217048001419,132
hist_gradient_boosting,fold_1,360.200599170724,18.97895147711601,14.750130601829088,122
hist_gradient_boosting,fold_2,241.62038555567145,15.544143127096824,12.465552625134546,108
hist_gradient_boosting,fold_3,217.00058352804504,14.730939668875338,12.186292730029292,132
mean,fold_1,640.6580715402798,25.311224220497117,20.396543220235134,122
mean,fold_2,513.3128545019523,22.65640868500461,18.39006379490741,108
mean,fold_3,591.5264476804108,24.321316734099963,19.269888137992066,132
random_forest,fold_1,317.6157089064756,17.821776255650715,13.816418073570713,122
random_forest,fold_2,226.8000878718476,15.05988339502825,12.071386884314533,108
random_forest,fold_3,208.35733943609662,14.43458830157953,11.688109959548026,132
ridge,fold_1,278.99190828240097,16.703050867503247,13.098291176565068,122
ridge,fold_2,212.41490702167576,14.574460779791332,11.596239187775742,108
ridge,fold_3,183.77362223900695,13.55631300313647,10.809259179778302,132
svr_rbf,fold_1,371.1771737819714,19.265958937513894,14.804403138190352,122
svr_rbf,fold_2,250.7988797108273,15.836630945716557,12.529329441891528,108
svr_rbf,fold_3,269.57255608469274,16.418664869126623,12.44705719691588,132
