match_id,group_id,round_in_group,team_a,team_b,venue_id,slot_id,city,country,reference_date,reference_kickoff_time,local_datetime,utc_datetime,required_security_level,expected_attendance,expected_tv_viewers,ticket_revenue_usd,broadcast_value_usd,travel_cost_index,fairness_penalty,risk_index,total_objective_value
GA01,A,1,Mexico,South Africa,V01,S014,Atlanta,United States,2026-06-11,21:00,2026-06-11T21:00:00-04:00,2026-06-12T01:00:00+00:00,2,38058,150447576.57630873,3044640.0,2819763.7039814666,0.4132556713520297,0.6666666666666666,0.3791417840375587,0.458163650373169
GA02,A,1,South Korea,Czechia,V02,S011,Boston,United States,2026-06-11,12:00,2026-06-11T12:00:00-04:00,2026-06-11T16:00:00+00:00,3,45103,165818268.24929234,3608240.0,3107848.892662362,0.5024697951311434,0.6666666666666666,0.47539330277179037,
GA03,A,2,Mexico,South Korea,V09,S081,Miami,United States,2026-06-18,12:00,2026-06-18T12:00:00-04:00,2026-06-18T16:00:00+00:00,3,44008,179677696.18029016,4180760.0,4398510.0024935035,0.11708070205521323,0.6666666666666666,0.4838445504655149,
GA04,A,2,South Africa,Czechia,V10,S084,Monterrey,Mexico,2026-06-18,21:00,2026-06-18T19:00:00-06:00,2026-06-19T01:00:00+00:00,3,46116,152815627.70708072,4381020.0,3410844.8104220415,0.09584633669339573,0.6666666666666666,0.5385943925233645,
GA05,A,3,Mexico,Czechia,V01,S151,Atlanta,United States,2026-06-25,12:00,2026-06-25T12:00:00-04:00,2026-06-25T16:00:00+00:00,2,37158,156779103.4531627,4087380.0,6098080.007914217,0.0948136398244995,0.6666666666666666,0.3753389671361502,
GA06,A,3,South Africa,South Korea,V02,S151,Boston,United States,2026-06-25,12:00,2026-06-25T12:00:00-04:00,2026-06-25T16:00:00+00:00,2,41308,158686212.68423516,4543880.0,6172258.928566012,0.12889585954236496,0.6666666666666666,0.39144469069087307,
GB01,B,1,Canada,Bosnia and Herzegovina,V03,S014,Dallas,United States,2026-06-11,21:00,2026-06-11T20:00:00-05:00,2026-06-12T01:00:00+00:00,3,47891,170115715.66876176,3831280.0,3188393.8009217675,0.3189091345937408,0.6666666666666666,0.4028436170212766,
GB02,B,1,Qatar,Switzerland,V04,S011,Guadalajara,Mexico,2026-06-11,12:00,2026-06-11T10:00:00-06:00,2026-06-11T16:00:00+00:00,2,41648,160879849.5485012,3331840.0,3015290.580162784,0.6565842102991072,0.6666666666666666,0.44824887492805776,
GB03,B,2,Canada,Qatar,V11,S081,New York/New Jersey,United States,2026-06-18,12:00,2026-06-18T12:00:00-04:00,2026-06-18T16:00:00+00:00,3,47317,171878422.4855618,4495115.0,4207583.782446553,0.11692625223636981,0.6666666666666666,0.3870618181818182,
GB04,B,2,Bosnia and Herzegovina,Switzerland,V12,S081,Philadelphia,United States,2026-06-18,12:00,2026-06-18T12:00:00-04:00,2026-06-18T16:00:00+00:00,2,33856,163183140.23883286,3216320.0,3994723.2730466286,0.11301166810384002,0.6666666666666666,0.3392727551391842,
GB05,B,3,Canada,Switzerland,V03,S151,Dallas,United States,2026-06-25,12:00,2026-06-25T11:00:00-05:00,2026-06-25T16:00:00+00:00,3,45758,182590347.8375725,5033380.0,7102034.169490221,0.08376087915811234,0.6666666666666666,0.396036170212766,
GB06,B,3,Bosnia and Herzegovina,Qatar,V04,S154,Guadalajara,Mexico,2026-06-25,21:00,2026-06-25T19:00:00-06:00,2026-06-26T01:00:00+00:00,3,46989,154775727.7113414,5168790.0,5577498.123805899,0.11503545409303395,0.6666666666666666,0.5482474880905328,
GC01,C,1,Brazil,Morocco,V08,S021,Mexico City,Mexico,2026-06-12,12:00,2026-06-12T10:00:00-06:00,2026-06-12T16:00:00+00:00,4,50404,199753895.7877214,4032320.0,4219301.663776145,0.42279837302958234,0.6666666666666666,0.44776830090376246,
GC02,C,1,Haiti,Scotland,V05,S021,Houston,United States,2026-06-12,12:00,2026-06-12T11:00:00-05:00,2026-06-12T16:00:00+00:00,2,34899,147018171.66752687,2791920.0,3105391.331047336,0.27632565834301204,0.6666666666666666,0.3983028708575648,
GC03,C,2,Brazil,Haiti,V13,S091,San Francisco Bay Area,United States,2026-06-19,12:00,2026-06-19T09:00:00-07:00,2026-06-19T16:00:00+00:00,1,32034,157237426.3513799,3043230.0,3509539.3561627995,0.1426184417453153,0.6666666666666666,0.25696155717761554,
GC04,C,2,Morocco,Scotland,V08,S091,Mexico City,Mexico,2026-06-19,12:00,2026-06-19T10:00:00-06:00,2026-06-19T16:00:00+00:00,3,47021,180465898.40640327,4466995.0,4027998.852430921,0.10250300464205883,0.6666666666666666,0.38617249180215485,
GC05,C,3,Brazil,Scotland,V05,S164,Houston,United States,2026-06-26,21:00,2026-06-26T20:00:00-05:00,2026-06-27T01:00:00+00:00,2,37830,175969375.59573624,4161300.0,6743850.350330996,0.08598756023031767,0.6666666666666666,0.4104781685590325,
GC06,C,3,Morocco,Haiti,V06,S164,Kansas City,United States,2026-06-26,21:00,2026-06-26T20:00:00-05:00,2026-06-27T01:00:00+00:00,1,33507,157935064.38119677,3685770.0,6052703.407344986,0.08792737358330768,0.6666666666666666,0.32154444095477386,
GD01,D,1,United States,Paraguay,V08,S024,Mexico City,Mexico,2026-06-12,21:00,2026-06-12T19:00:00-06:00,2026-06-13T01:00:00+00:00,3,45358,181388903.7411077,3628640.0,3615534.32381963,0.25118048244249036,0.6666666666666666,0.3804722758589171,
GD02,D,1,Australia,Turkey,V09,S021,Miami,United States,2026-06-12,12:00,2026-06-12T12:00:00-04:00,2026-06-12T16:00:00+00:00,3,47267,184254758.3210234,3781360.0,3891921.1326358165,0.7088526112566029,0.6666666666666666,0.4989402010283015,
GD03,D,2,United States,Australia,V08,S094,Mexico City,Mexico,2026-06-19,21:00,2026-06-19T19:00:00-06:00,2026-06-20T01:00:00+00:00,4,52473,180653590.2619328,4984935.0,4422399.889612115,0.11548519537630371,0.6666666666666666,0.45486015104601074,
GD04,D,2,Paraguay,Turkey,V07,S094,Los Angeles,United States,2026-06-19,21:00,2026-06-19T18:00:00-07:00,2026-06-20T01:00:00+00:00,4,56083,185643452.4268677,5327885.0,4544551.715409721,0.12736535279681516,0.6666666666666666,0.49953445330296126,
GD05,D,3,United States,Turkey,V07,S161,Los Angeles,United States,2026-06-26,12:00,2026-06-26T09:00:00-07:00,2026-06-26T16:00:00+00:00,3,50782,189023159.38559672,5586020.0,7027881.065956485,0.12407030051794274,0.6666666666666666,0.4268935079726651,
GD06,D,3,Paraguay,Australia,V08,S161,Mexico City,Mexico,2026-06-26,12:00,2026-06-26T10:00:00-06:00,2026-06-26T16:00:00+00:00,3,49657,180791723.1157347,5462270.0,6721836.265443016,0.09016584083907851,0.6666666666666666,0.39520783108440066,
GE01,E,1,Germany,Curacao,V06,S031,Kansas City,United States,2026-06-13,12:00,2026-06-13T11:00:00-05:00,2026-06-13T16:00:00+00:00,1,32210,157812042.2171985,2576800.0,3145588.531494309,0.31802976137979566,0.6666666666666666,0.3164525753768844,
GE02,E,1,Ivory Coast,Ecuador,V10,S034,Monterrey,Mexico,2026-06-13,21:00,2026-06-13T19:00:00-06:00,2026-06-14T01:00:00+00:00,3,50415,184969750.90959743,4033200.0,3741938.0609011566,0.37178439056185275,0.6666666666666666,0.5627009345794393,
GE03,E,2,Germany,Ivory Coast,V15,S101,Toronto,Canada,2026-06-20,12:00,2026-06-20T12:00:00-04:00,2026-06-20T16:00:00+00:00,2,40477,190033104.2143623,3845315.0,4104715.0510302256,0.10790976508981774,0.6666666666666666,0.47021465201465207,
GE04,E,2,Curacao,Ecuador,V16,S101,Vancouver,Canada,2026-06-20,12:00,2026-06-20T09:00:00-07:00,2026-06-20T16:00:00+00:00,2,34961,153155451.778352,3321295.0,3308157.758412403,0.15009690414598814,0.6666666666666666,0.40577920489296637,
GE05,E,3,Germany,Ecuador,V09,S171,Miami,United States,2026-06-27,12:00,2026-06-27T12:00:00-04:00,2026-06-27T16:00:00+00:00,3,47231,195935824.4811381,5195410.0,7621119.82901835,0.11645946288335218,0.6666666666666666,0.49877344944184543,
GE06,E,3,Curacao,Ivory Coast,V10,S171,Monterrey,Mexico,2026-06-27,12:00,2026-06-27T10:00:00-06:00,2026-06-27T16:00:00+00:00,2,37457,155488891.24784356,4120270.0,6047895.9139761245,0.09516057093651968,0.6666666666666666,0.423372585669782,
GF01,F,1,Netherlands,Japan,V11,S034,New York/New Jersey,United States,2026-06-13,21:00,2026-06-13T21:00:00-04:00,2026-06-14T01:00:00+00:00,3,48424,205345610.6152872,3873920.0,4154141.702747261,0.4924034982372165,0.6666666666666666,0.39108727272727273,
GF02,F,1,Sweden,Tunisia,V12,S034,Philadelphia,United States,2026-06-13,21:00,2026-06-13T21:00:00-04:00,2026-06-14T01:00:00+00:00,2,41625,166182432.87013727,3330000.0,3361870.616962878,0.38078738119837097,0.6666666666666666,0.37276174875950724,
GF03,F,2,Netherlands,Sweden,V01,S104,Atlanta,United States,2026-06-20,21:00,2026-06-20T21:00:00-04:00,2026-06-21T01:00:00+00:00,3,46080,189112392.6686705,4377600.0,4833712.756611218,0.09347216001812451,0.6666666666666666,0.47970422535211277,
GF04,F,2,Japan,Tunisia,V02,S104,Boston,United States,2026-06-20,21:00,2026-06-20T21:00:00-04:00,2026-06-21T01:00:00+00:00,2,41635,175494269.9128084,3955325.0,4485633.538971382,0.12812544826092853,0.6666666666666666,0.3929338069360535,
GF05,F,3,Netherlands,Tunisia,V11,S174,New York/New Jersey,United States,2026-06-27,21:00,2026-06-27T21:00:00-04:00,2026-06-28T01:00:00+00:00,2,33648,168879157.6525466,3701280.0,6278927.081521682,0.11692625223636981,0.6666666666666666,0.28735636363636363,
GF06,F,3,Japan,Sweden,V03,S174,Dallas,United States,2026-06-27,21:00,2026-06-27T20:00:00-05:00,2026-06-28T01:00:00+00:00,4,50930,195143169.3685556,5602300.0,7255423.037122897,0.08376087915811234,0.6666666666666666,0.46254255319148935,
GG01,G,1,Belgium,Egypt,V13,S044,San Francisco Bay Area,United States,2026-06-14,21:00,2026-06-14T18:00:00-07:00,2026-06-15T01:00:00+00:00,2,39424,177180272.46412906,3153920.0,3426223.5187750957,0.5870755754078103,0.6666666666666666,0.35599318734793184,
GG02,G,1,Iran,New Zealand,V14,S041,Seattle,United States,2026-06-14,12:00,2026-06-14T09:00:00-07:00,2026-06-14T16:00:00+00:00,2,38877,155658085.86446267,3110160.0,3010038.235404047,0.6861325371217828,0.6666666666666666,0.392363768115942,
GG03,G,2,Belgium,Iran,V04,S114,Guadalajara,Mexico,2026-06-21,21:00,2026-06-21T19:00:00-06:00,2026-06-22T01:00:00+00:00,3,44203,179527453.63056913,4199285.0,4394832.064876333,0.11478989015026797,0.6666666666666666,0.530860706038984,
GG04,G,2,Egypt,New Zealand,V05,S111,Houston,United States,2026-06-21,12:00,2026-06-21T11:00:00-05:00,2026-06-21T16:00:00+00:00,2,43509,153292681.08839545,4133355.0,3587048.737468454,0.08466276537873822,0.6666666666666666,0.43406858672574533,
GG05,G,3,Belgium,New Zealand,V12,S184,Philadelphia,United States,2026-06-28,21:00,2026-06-28T21:00:00-04:00,2026-06-29T01:00:00+00:00,2,34961,163470890.37227446,3845710.0,6638879.79979881,0.11301166810384002,0.6666666666666666,0.3440359599210683,
GG06,G,3,Egypt,Iran,V13,S184,San Francisco Bay Area,United States,2026-06-28,21:00,2026-06-28T18:00:00-07:00,2026-06-29T01:00:00+00:00,3,49711,170842570.3973316,5468210.0,6938258.46897643,0.13681226199359015,0.6666666666666666,0.4677124087591241,
GH01,H,1,Spain,Cape Verde,V15,S041,Toronto,Canada,2026-06-14,12:00,2026-06-14T12:00:00-04:00,2026-06-14T16:00:00+00:00,2,38024,164470378.13295665,3041920.0,3180445.9371460495,0.33102710157268606,0.6666666666666666,0.45404102564102566,
GH02,H,1,Saudi Arabia,Uruguay,V08,S044,Mexico City,Mexico,2026-06-14,21:00,2026-06-14T19:00:00-06:00,2026-06-15T01:00:00+00:00,2,35423,171547102.29801285,2833840.0,3317292.0906878235,0.5692803693375852,0.6666666666666666,0.2964183700284496,
GH03,H,2,Spain,Saudi Arabia,V06,S114,Kansas City,United States,2026-06-21,21:00,2026-06-21T20:00:00-05:00,2026-06-22T01:00:00+00:00,2,34404,165371058.20682704,3268380.0,4048283.5049031265,0.08420924784339714,0.6666666666666666,0.4250659547738693,
GH04,H,2,Cape Verde,Uruguay,V03,S114,Dallas,United States,2026-06-21,21:00,2026-06-21T20:00:00-05:00,2026-06-22T01:00:00+00:00,1,32327,160468965.8942925,3071065.0,3928280.2850922807,0.08207500556953116,0.6666666666666666,0.2531712765957447,
GH05,H,3,Spain,Uruguay,V07,S184,Los Angeles,United States,2026-06-28,21:00,2026-06-28T18:00:00-07:00,2026-06-29T01:00:00+00:00,4,58377,206157228.9099964,6421470.0,8372457.380492772,0.12663289447238926,0.6666666666666666,0.5093322892938497,
GH06,H,3,Cape Verde,Saudi Arabia,V03,S181,Dallas,United States,2026-06-28,12:00,2026-06-28T11:00:00-05:00,2026-06-28T16:00:00+00:00,3,46248,152982654.5184385,5087280.0,5775401.173380091,0.08207500556953116,0.6666666666666666,0.39760000000000006,
GI01,I,1,France,Senegal,V01,S051,Atlanta,United States,2026-06-15,12:00,2026-06-15T12:00:00-04:00,2026-06-15T16:00:00+00:00,2,40598,186854212.7972026,3247840.0,3891238.9815017437,0.3831262587861207,0.6666666666666666,0.3898741784037558,
GI02,I,1,Iraq,Norway,V02,S051,Boston,United States,2026-06-15,12:00,2026-06-15T12:00:00-04:00,2026-06-15T16:00:00+00:00,2,41981,159235523.93201354,3358480.0,3316079.785884182,0.4204721456535597,0.6666666666666666,0.394509446755113,
GI03,I,2,France,Iraq,V09,S124,Miami,United States,2026-06-22,21:00,2026-06-22T21:00:00-04:00,2026-06-23T01:00:00+00:00,2,37304,160544184.21315685,3543880.0,3698938.0042711343,0.11645946288335218,0.6666666666666666,0.40279169947658533,
GI04,I,2,Senegal,Norway,V10,S124,Monterrey,Mexico,2026-06-22,21:00,2026-06-22T19:00:00-06:00,2026-06-23T01:00:00+00:00,3,43334,181997406.9302665,4116730.0,4193220.2556733405,0.09516057093651968,0.6666666666666666,0.5229943925233645,
GI05,I,3,France,Norway,V15,S191,Toronto,Canada,2026-06-29,12:00,2026-06-29T12:00:00-04:00,2026-06-29T16:00:00+00:00,3,42132,177185035.36536792,4634520.0,6993138.97580034,0.10790976508981774,0.6666666666666666,0.5477934065934067,
GI06,I,3,Senegal,Iraq,V16,S194,Vancouver,Canada,2026-06-29,21:00,2026-06-29T18:00:00-07:00,2026-06-30T01:00:00+00:00,2,37006,161084359.2991389,4070660.0,5804835.97170377,0.15009690414598814,0.6666666666666666,0.4170360856269113,
GJ01,J,1,Argentina,Algeria,V08,S054,Mexico City,Mexico,2026-06-15,21:00,2026-06-15T19:00:00-06:00,2026-06-16T01:00:00+00:00,2,42249,170718785.0531197,3379920.0,3352063.344518006,0.452813667785425,0.6666666666666666,0.3198156484581196,
GJ02,J,1,Austria,Jordan,V04,S054,Guadalajara,Mexico,2026-06-15,21:00,2026-06-15T19:00:00-06:00,2026-06-16T01:00:00+00:00,2,39723,166535417.48275575,3177840.0,3269922.9222739097,0.6316414856612933,0.6666666666666666,0.43623539486731433,
GJ03,J,2,Argentina,Austria,V11,S121,New York/New Jersey,United States,2026-06-22,12:00,2026-06-22T12:00:00-04:00,2026-06-22T16:00:00+00:00,3,46961,193756640.7217681,4461295.0,4882667.3461885555,0.11612884678148784,0.6666666666666666,0.38576727272727274,
GJ04,J,2,Algeria,Jordan,V12,S121,Philadelphia,United States,2026-06-22,12:00,2026-06-22T12:00:00-04:00,2026-06-22T16:00:00+00:00,3,44133,166367044.5003642,4192635.0,4192449.5214091777,0.11217898394026579,0.6666666666666666,0.45023938157365373,
GJ05,J,3,Argentina,Jordan,V01,S191,Atlanta,United States,2026-06-29,12:00,2026-06-29T12:00:00-04:00,2026-06-29T16:00:00+00:00,1,31616,166934934.48101538,3477760.0,6588587.994096715,0.0948136398244995,0.6666666666666666,0.28525539906103287,
GJ06,J,3,Algeria,Austria,V02,S191,Boston,United States,2026-06-29,12:00,2026-06-29T12:00:00-04:00,2026-06-29T16:00:00+00:00,3,43288,182564339.500388,4761680.0,7205449.351401312,0.12889585954236496,0.6666666666666666,0.4671280245301922,
GK01,K,1,Portugal,DR Congo,V05,S061,Houston,United States,2026-06-16,12:00,2026-06-16T11:00:00-05:00,2026-06-16T16:00:00+00:00,1,31289,156038737.38391468,2503120.0,2970977.559789736,0.5370397058525918,0.6666666666666666,0.3166403581648666,
GK02,K,1,Uzbekistan,Colombia,V06,S061,Kansas City,United States,2026-06-16,12:00,2026-06-16T11:00:00-05:00,2026-06-16T16:00:00+00:00,2,42345,177479345.7313522,3387600.0,3379206.7427249462,0.4222633253776973,0.6666666666666666,0.45624136306532664,
GK03,K,2,Portugal,Uzbekistan,V13,S131,San Francisco Bay Area,United States,2026-06-23,12:00,2026-06-23T09:00:00-07:00,2026-06-23T16:00:00+00:00,2,35073,161432798.7628463,3331935.0,4242453.951487601,0.13651496663534637,0.6666666666666666,0.3369377128953771,
GK04,K,2,DR Congo,Colombia,V14,S131,Seattle,United States,2026-06-23,12:00,2026-06-23T09:00:00-07:00,2026-06-23T16:00:00+00:00,2,36558,162698219.0794463,3473010.0,4275709.197407848,0.14399282800266006,0.6666666666666666,0.38228115942028984,
GK05,K,3,Portugal,Colombia,V03,S204,Dallas,United States,2026-06-30,21:00,2026-06-30T20:00:00-05:00,2026-07-01T01:00:00+00:00,3,48488,198161379.52010256,5333680.0,7594336.708728411,0.08207500556953116,0.6666666666666666,0.4047489361702128,
GK06,K,3,DR Congo,Uzbekistan,V05,S204,Houston,United States,2026-06-30,21:00,2026-06-30T20:00:00-05:00,2026-07-01T01:00:00+00:00,2,43065,155652075.3652373,4737150.0,5965210.1362973545,0.08466276537873822,0.6666666666666666,0.43222422228376256,
GL01,L,1,England,Croatia,V07,S064,Los Angeles,United States,2026-06-16,21:00,2026-06-16T18:00:00-07:00,2026-06-17T01:00:00+00:00,3,47972,197629264.4458609,3837760.0,3939245.313567123,0.528538585282891,0.6666666666666666,0.4148917995444191,
