match_id,group_id,round_in_group,team_a,team_b,venue_id,slot_id,city,country,reference_date,reference_kickoff_time,local_datetime,utc_datetime,required_security_level,expected_attendance,expected_tv_viewers,ticket_revenue_usd,broadcast_value_usd,travel_cost_index,fairness_penalty,risk_index,total_objective_value
GA01,A,1,Mexico,South Africa,V01,S011,Atlanta,United States,2026-06-11,12:00,2026-06-11T12:00:00-04:00,2026-06-11T16:00:00+00:00,2,38058.0,150447576.57630873,3044640.0,2819763.7039814666,0.4132556713520297,0.5,0.3791417840375587,0.3187898737709609
GA02,A,1,South Korea,Czechia,V02,S011,Boston,United States,2026-06-11,12:00,2026-06-11T12:00:00-04:00,2026-06-11T16:00:00+00:00,3,45103.0,165818268.24929234,3608240.0,3107848.8926623617,0.5024697951311434,0.5,0.4753933027717903,
GA03,A,2,Mexico,South Korea,V09,S082,Miami,United States,2026-06-18,15:00,2026-06-18T15:00:00-04:00,2026-06-18T19:00:00+00:00,3,44008.0,179677696.18029016,4180760.0,2199255.0012467518,0.11708070205521323,0.5,0.4838445504655149,
GA04,A,2,South Africa,Czechia,V10,S082,Monterrey,Mexico,2026-06-18,15:00,2026-06-18T13:00:00-06:00,2026-06-18T19:00:00+00:00,3,46116.0,152815627.70708072,4381020.0,1870463.2831346684,0.09584633669339573,0.5,0.5385943925233645,
GA05,A,3,Mexico,Czechia,V01,S152,Atlanta,United States,2026-06-25,15:00,2026-06-25T15:00:00-04:00,2026-06-25T19:00:00+00:00,2,37158.0,156779103.4531627,4087380.0,3138717.6511323173,0.0948136398244995,0.5,0.3753389671361502,
GA06,A,3,South Africa,South Korea,V02,S152,Boston,United States,2026-06-25,15:00,2026-06-25T15:00:00-04:00,2026-06-25T19:00:00+00:00,2,41308.0,158686212.68423516,4543880.0,3176897.9779383875,0.12889585954236496,0.5,0.39144469069087307,
GB01,B,1,Canada,Bosnia and Herzegovina,V03,S012,Dallas,United States,2026-06-11,15:00,2026-06-11T14:00:00-05:00,2026-06-11T19:00:00+00:00,3,47891.0,170115715.66876176,3831280.0,1872548.7402238953,0.3189091345937408,0.5,0.40284361702127663,
GB02,B,1,Qatar,Switzerland,V04,S012,Guadalajara,Mexico,2026-06-11,15:00,2026-06-11T13:00:00-06:00,2026-06-11T19:00:00+00:00,2,41648.0,160879849.5485012,3331840.0,1770884.943905127,0.6565842102991072,0.5,0.44824887492805776,
GB03,B,2,Canada,Qatar,V11,S083,New York/New Jersey,United States,2026-06-18,18:00,2026-06-18T18:00:00-04:00,2026-06-18T22:00:00+00:00,3,47317.0,171878422.4855618,4495115.0,2041915.659128474,0.11692625223636981,0.5,0.3870618181818182,
GB04,B,2,Bosnia and Herzegovina,Switzerland,V12,S083,Philadelphia,United States,2026-06-18,18:00,2026-06-18T18:00:00-04:00,2026-06-18T22:00:00+00:00,2,33856.0,163183140.23883286,3216320.0,1938615.7060373344,0.11301166810384002,0.5,0.3392727551391842,
