match_id,reference_date,broadcast,security,transport,ticket_adjustment,static_attendance,static_tv_viewers,static_ticket_value,static_broadcast_value,static_attractiveness,static_resource_cost,static_risk,dynamic_attendance,dynamic_tv_viewers,dynamic_ticket_value,dynamic_broadcast_value,dynamic_attractiveness,dynamic_resource_cost,dynamic_risk,static_optimization_score,updated_evaluation_score
GA05,2026-06-25,2,2,2,0.11249999999999996,35331.700500701074,164618058.62582085,4323716.848773294,8560139.048542684,0.6004999999999999,9.0,0.29093528450704226,29933.66991258912,103040439.00984257,3663132.855553094,5358102.828511814,0.41943353501683034,9.0,0.737374148285405,0.10487335949787638,0.00046002268307761274
GA06,2026-06-25,3,2,3,0.11249999999999996,40803.07854056875,177728558.20634338,4993276.736402101,9241885.026729856,0.6182,16.0,0.28915831431433864,41544.92290089607,149513774.80644968,5084059.939997156,7774716.289935383,0.6081416054769789,16.0,0.13637057708391565,0.1965259785635991,0.45731071457816364
GB05,2026-06-25,3,3,3,0.11249999999999996,45198.684706578504,204501189.5780812,5531189.040967545,10634061.858060222,0.6833,19.0,0.2673491170212766,42023.112383088774,156154362.54507956,5142578.3778804885,8120026.852344137,0.5807310905692844,19.0,0.6098364217880113,0.3869466052248012,0.39695798709409924
GB06,2026-06-25,3,3,3,0.2,43852.46855369862,173348815.0367024,5788525.849088218,9014138.381908525,0.6904,19.0,0.2363316488090533,43560.31029979924,153010818.28744173,5749960.9595735,7956562.55094697,0.6665180959787724,19.0,0.11410304514818953,0.29303038539276455,0.5420884225934562
GC05,2026-06-26,3,2,2,0.11249999999999996,35970.67199368969,197085700.66722462,4401910.985227776,10248456.43469568,0.6177,13.0,0.3202390446967599,32837.92418930541,132066098.6632826,4018540.97266625,6867437.130490695,0.4648989095110586,13.0,0.4219730894995992,0.22445705659144602,0.2060235644916387
GC06,2026-06-26,2,1,2,0.11249999999999996,31860.14555888344,165831817.60025662,3898885.312768361,8623254.515213344,0.5218,7.0,0.3427570448178392,30760.946529708424,120805345.53091864,3764370.8315730686,6281877.967607769,0.4700238296327949,7.0,0.5992325766157354,0.02108810674471394,0.13630206456514488
GD05,2026-06-26,3,3,3,0.11249999999999996,50161.274679170194,211705938.51186836,6138485.988863452,11008708.802617155,0.7464,19.0,0.24627865079726652,44147.710085930645,134487677.81592163,5402576.021765763,6993359.246427924,0.49268684630078063,19.0,0.7432858947810898,0.5095736396559727,0.2766629112647765
GD06,2026-06-26,3,3,3,0.11249999999999996,49050.02592933627,202486729.88962287,6002496.923102526,10529309.954260388,0.7425,19.0,0.2339663831084401,52847.93982746606,175200270.65513012,6467266.63638616,9110414.074066766,0.6886886295768173,19.0,0.10977563116712946,0.46259984650929215,0.7164449560895381
GE05,2026-06-27,3,3,3,0.11249999999999996,46653.67973636106,219448123.4188747,5709244.057737185,11411302.417781485,0.7418,19.0,0.26935684494418455,46560.180605814145,144816985.32529184,5697802.101636506,7530483.236915176,0.527262641408501,19.0,0.7191147337035458,0.48883700664523777,0.36510195529248146
GE06,2026-06-27,3,2,2,0.11249999999999996,35616.004781063566,174147558.1975848,4358508.585082654,9055673.02627441,0.5805,13.0,0.31168363364485985,33340.236311181834,108712063.24114393,4080011.418580877,5653027.288539484,0.3981119367468775,13.0,0.4756776060353294,0.11040538093934739,0.07825859073105113
GF05,2026-06-27,3,2,1,0.11249999999999996,31062.345116853136,189144656.57085222,3801254.4836749025,9835522.141684314,0.5847,11.0,0.31356818181818186,25775.445802770802,123617674.9583389,3154270.180114077,6428119.097833622,0.4238355149134216,11.0,0.41051400739157584,0.1375749172488499,0.08593847192783019
GF06,2026-06-27,3,4,3,0.11249999999999996,50307.46562581501,218560349.6927823,6156376.105959112,11365138.18402468,0.7781999999999999,23.0,0.21508637021276597,46559.47365006161,169424590.7779484,5697715.58792629,8810078.720453316,0.6205222522664289,23.0,0.22835089372457348,0.553276496111106,0.5590151504726975
GG05,2026-06-28,3,2,2,0.11249999999999996,33242.68209282013,183087397.2169474,4068073.221108863,9520544.655281264,0.5097,13.0,0.3491852835450313,31630.50947311387,131104388.60997465,3870783.59677231,6817428.207718682,0.46410660283883054,13.0,0.6455830806834348,0.07556273363076411,0.15354092878400855
GG06,2026-06-28,3,3,3,0.11249999999999996,49103.36586932829,191343678.8450114,6009024.39825905,9949871.299940594,0.72,19.0,0.23317644087591244,48394.52468794494,151284557.16641334,5922279.958687262,7866796.972653493,0.6088278037584447,19.0,0.24441795641459857,0.405974955260192,0.5127837863498115
GH05,2026-06-28,3,4,3,0.11249999999999996,57663.43846138235,230896096.37919596,7056563.281711665,12006597.01171819,0.7894,23.0,0.24243635261959,45416.68889564546,149818972.92205152,5557867.303604613,7790586.591946678,0.5207317671985551,23.0,0.7147061706637903,0.6759983601114888,0.3529981219788696
GH06,2026-06-28,3,3,2,0.11249999999999996,43974.93096389535,171340573.06065112,5381432.176706693,8909709.799153859,0.6646,16.0,0.2320157,33275.22865162953,112434303.30295509,4072056.1062431633,5846583.771753664,0.43590314542434433,16.0,0.4132144292552001,0.25621808711207966,0.10043754244634458
GI05,2026-06-29,3,3,3,0.11249999999999996,41617.00651378045,198447239.6092121,5092881.172123882,10319256.459679028,0.6479,19.0,0.30510984065934066,36529.62339277096,125543652.5573108,4470312.662690346,6528269.932980161,0.4466719513083174,19.0,0.7369898089173443,0.28328388965646395,0.13564308288602278
GI06,2026-06-29,3,2,2,0.11249999999999996,35187.171234429836,180414482.41503558,4306030.079813351,9381553.08558185,0.5846,13.0,0.31921516697247715,32383.678680779118,126536275.22623138,3962952.6785603445,6579886.311764032,0.46280691636578625,13.0,0.3525560525441635,0.13027379976371806,0.18594704294246525
GJ05,2026-06-29,2,1,1,0.11249999999999996,29186.49260623005,175281681.20506617,3571697.0326874023,9114647.42266344,0.5138,5.0,0.35838912429577463,23975.710695707356,106873578.33019046,2934027.5963871875,5557426.073169904,0.3668961106245993,5.0,0.7370456172831112,0.030972665916030012,-0.04716851936553271
GJ06,2026-06-29,3,3,3,0.11249999999999996,42758.87634027646,204472060.24043453,5232617.492141332,10632547.132502595,0.6970000000000001,19.0,0.2740840024530192,41520.03258002916,169654663.71057823,5081013.986981069,8822042.512950068,0.626555379582176,19.0,0.12497563325481827,0.3600731069133626,0.5397000197595864
GK05,2026-06-30,3,3,3,0.11249999999999996,47895.3150061755,221940745.0625149,5861189.173880727,11540918.743250774,0.7857999999999999,19.0,0.2299445936170213,42815.22971237061,141250231.8066645,5239513.736051354,7345012.053946554,0.5277061119276394,19.0,0.7374024368408982,0.5546198053726675,0.303408391574411
GK06,2026-06-30,3,2,3,0.11249999999999996,42538.60214364271,174330324.40906578,5205661.437328277,9065176.86927142,0.6618,16.0,0.24611851852672392,41442.54618022958,136137402.54699945,5071531.588805595,7079144.932443972,0.5630417157776754,16.0,0.22627063190415736,0.24355331119482077,0.36851401968740677
GL05,2026-06-30,3,1,1,0.11249999999999996,27851.609372784686,172206758.90889663,3408340.696994526,8954751.463262623,0.4963,9.0,0.34471839872278054,25400.727833445282,126460698.65381025,3108414.0686178664,6575956.329998133,0.4677918112598257,9.0,0.6047829312140199,-0.0146247462201822,0.0884483506194765
