match_id,reference_date,broadcast,security,transport,ticket_adjustment,static_attendance,static_tv_viewers,static_ticket_value,static_broadcast_value,static_attractiveness,static_resource_cost,static_risk,dynamic_attendance,dynamic_tv_viewers,dynamic_ticket_value,dynamic_broadcast_value,dynamic_attractiveness,dynamic_resource_cost,dynamic_risk,static_optimization_score,updated_evaluation_score
GA05,2026-06-25,1,2,3,-0.15,44912.984354348795,156779103.4531627,4199364.037131612,8152513.37956446,0.6004999999999999,10.0,0.29093528450704226,38051.110741915174,98133751.4379453,3557778.854369069,5102955.074773156,0.41943353501683034,10.0,0.737374148285405,0.05341310097696339,-0.03642015022647192
GA06,2026-06-25,1,2,1,-0.15,46662.711787186105,158686212.68423516,4362963.552101901,8251683.059580227,0.6182,5.0,0.28915831431433864,47511.0906550327,133494441.79147293,4442286.976245557,6941710.973156592,0.6081416054769789,5.0,0.13637057708391565,0.1089795417061796,0.38023959798845475
GB05,2026-06-25,1,4,1,-0.15,51689.560519949206,182590347.8375725,4832973.908615251,9494698.08755377,0.6833,12.0,0.2454727446808511,48057.95179358714,139423537.98667815,4493418.492700398,7250023.975307263,0.5807310905692844,12.0,0.5863842704580406,0.27471173037895924,0.29957593464059573
GB06,2026-06-25,1,3,3,-0.15,48071.0,154775727.7113414,4494638.5,8048337.840989753,0.6904,13.0,0.2363316488090533,48071.0,136616802.04235867,4494638.5,7104073.70620265,0.6665180959787724,13.0,0.11410304514818953,0.12257874581016284,0.38067689073696037
GC05,2026-06-26,1,2,3,-0.15,45725.23273924901,175969375.59573624,4275309.261119783,9150407.530978283,0.6177,10.0,0.3202390446967599,41742.94343161606,117916159.52078803,3902965.210856102,6131640.2950809775,0.4648989095110586,10.0,0.4219730894995992,0.13314927786314998,0.14677876380133972
GC06,2026-06-26,1,2,3,-0.15,40500.00987031501,157935064.38119677,3786750.922874453,8212623.347822231,0.5218,10.0,0.33113645879396986,39102.72901204798,115052710.02944632,3656105.1626264863,5982740.921531208,0.4700238296327949,10.0,0.5865534775766925,-0.031910340440533085,0.08728918629829732
GD05,2026-06-26,1,4,1,-0.15,57364.816257792314,189023159.38559672,5363610.320103581,9829204.28805103,0.7464,12.0,0.21982576719817767,50487.65792894302,120078283.76421574,4720596.016356173,6244070.755739218,0.49268684630078063,12.0,0.7155239298540599,0.3899375297353074,0.1872510628311802
GD06,2026-06-26,1,4,1,-0.15,56093.98371299265,180791723.1157347,5244787.477164813,9401169.602018204,0.7425,12.0,0.20981758873896006,60437.307010149656,156428813.0849376,5650888.205448993,8134298.280416755,0.6886886295768173,12.0,0.08642389877808632,0.3474433158380062,0.594191472398284
GE05,2026-06-27,1,4,1,-0.15,53353.50393194023,195935824.4811381,4988552.617636411,10188662.873019181,0.7418,12.0,0.24371789662945637,53246.57761321344,129300879.75472485,4978555.006835457,6723645.747245692,0.527262641408501,12.0,0.6914500199690305,0.3698414677148877,0.2672155244687221
GE06,2026-06-27,1,2,3,-0.15,45274.386537511244,155488891.24784356,4233155.141257301,8085422.344887865,0.5805,10.0,0.31168363364485985,42381.473028299006,97064342.17959279,3962667.728145957,5047345.793338825,0.3981119367468775,10.0,0.4756776060353294,0.030250700458392246,0.030056007253090378
