match_id,reference_date,recommended_broadcast_priority,recommended_security_level,recommended_transport_level,recommended_ticket_adjustment,copt_expected_attendance,copt_expected_tv_viewers,copt_ticket_value_usd,copt_broadcast_value_usd,copt_resource_cost_index,copt_risk_exposure_index,copt_normalized_net_value
GA05,2026-06-25,2,2,1,0.0,29347.462755261142,103043626.86919942,3228220.9030787256,5358268.59719837,7.0,0.77924,0.03297114477495455
GA06,2026-06-25,3,2,3,0.0,45578.3039015535,148667240.28680542,5013613.429170885,7730696.494913882,16.0,0.30612082400000007,0.42761777073291657
GB05,2026-06-25,3,3,3,0.0,44440.87219730837,156798139.49217236,4888495.94170392,8153503.253592962,19.0,0.47124727899999996,0.41927689914400385
GB06,2026-06-25,3,3,3,0.0,48071.0,153475122.4527473,5287810.0,7980706.367542858,19.0,0.221688096,0.47507040748061896
GC05,2026-06-26,3,2,2,0.0,35734.4511216988,133718122.25922984,3930789.6233868683,6953342.357479951,13.0,0.6229267680000001,0.22881198775194844
GC06,2026-06-26,2,1,1,0.0,31706.346464428894,119195722.69657299,3487698.1110871783,6198177.5802217955,5.0,0.598120575,0.16272116262642053
GD05,2026-06-26,3,3,3,0.0,44524.48687141234,134487755.21579507,4897693.555855357,6993363.271221343,19.0,0.6869200000000001,0.2882971564070985
GD06,2026-06-26,3,3,3,0.0,57327.22264149557,174296808.42001256,6305994.490564513,9063434.037840653,19.0,0.2429155,0.664178042807146
GE05,2026-06-27,3,3,3,0.0,47565.57790241813,145854211.55218968,5232213.569265994,7584419.0007138625,19.0,0.6627088010000001,0.3775216447623182
GE06,2026-06-27,3,2,2,0.0,36152.98964601948,108766033.2465499,3976828.8610621425,5655833.728820595,13.0,0.67439652,0.10733911599741604
GF05,2026-06-27,3,2,1,0.0,27838.33311285387,123935649.52524032,3062216.642413926,6444653.775312496,11.0,0.640972627,0.10660049354828556
GF06,2026-06-27,3,4,3,0.0,49410.77520600974,168783781.5992729,5435185.272661071,8776756.64316219,23.0,0.36625889799999994,0.5186744562315291
GG05,2026-06-28,3,2,1,0.0,31527.253350096875,131437775.23443782,3467997.868510656,6834764.312190766,11.0,0.67307976,0.17941203311558057
GG06,2026-06-28,3,3,3,0.0,52491.11505802125,151044621.91314158,5774022.656382337,7854320.339483362,19.0,0.3683219000000001,0.4887220228608084
GH05,2026-06-28,3,4,3,0.0,46014.4550153333,150346172.25798106,5061590.051686662,7818000.9574150145,23.0,0.642510109,0.3630177518787924
GH06,2026-06-28,3,3,2,0.0,36401.89923304118,113494524.53299925,4004208.9156345297,5901715.27571596,16.0,0.5478361700000001,0.13336585626155345
GI05,2026-06-29,3,3,2,0.0,35484.771007586365,125545502.47997816,3903324.8108345,6528366.128958864,16.0,0.75076,0.15873529214312296
GI06,2026-06-29,3,2,2,0.0,35189.09368975792,126317559.94040056,3870800.3058733717,6568513.116900829,13.0,0.553776806,0.1953814245218777
GJ05,2026-06-29,2,1,1,0.0,24286.11457035132,106884700.62503104,2671472.6027386454,5558004.432501614,5.0,0.8766799999999999,-0.006663176752697952
GJ06,2026-06-29,3,3,3,0.0,46002.63256714762,169658231.75931293,5060289.5823862385,8822228.051484272,19.0,0.25773053199999996,0.5193306219182428
GK05,2026-06-30,3,3,3,0.0,43180.93342830786,141250335.76335788,4749902.677113865,7345017.459694609,19.0,0.67756,0.309573362918926
GK06,2026-06-30,3,2,3,0.0,46950.33551586611,135582742.54461783,5164536.906745272,7050302.612320127,16.0,0.34385102,0.3742777751949845
GL05,2026-06-30,3,1,1,0.0,26271.552936657612,126052823.52675158,2889870.8230323372,6554746.823391082,9.0,0.624076992,0.11576013355366696
GL06,2026-06-30,2,2,2,0.0,34120.90259784652,114397261.58968136,3753299.2857631175,5948657.60266343,9.0,0.626961792,0.13992062579671422
