match_id,group_id,team_a,team_b,updated_p_team_a_advance,updated_p_team_b_advance,updated_expected_attendance,updated_expected_tv_viewers,stakeless_risk,collusion_risk,updated_attractiveness,recommended_broadcast_priority,recommended_security_level,recommended_transport_level,recommended_ticket_adjustment,updated_ticket_revenue_usd,updated_broadcast_value_usd,resource_cost_index,risk_exposure_index,static_net_value,dynamic_net_value,improvement_rate
GA05,A,Mexico,Czechia,1.0,1.0,29933.66991258912,103040439.00984257,1.0,0.65,0.41943353501683034,2,2,2,0.11249999999999996,3663132.855553094,5358102.828511814,9.0,0.737374148285405,0.011230462826786775,0.00046002268307761274,-0.9590379586155281
GA06,A,South Africa,South Korea,0.2312,0.53105,41544.92290089607,149513774.80644968,0.14643508500000005,0.0,0.6081416054769789,3,2,3,0.11249999999999996,5084059.939997156,7774716.289935383,16.0,0.13637057708391565,0.45731071457816364,0.45731071457816364,0.0
GB05,B,Canada,Switzerland,0.35265,1.0,42023.112383088774,156154362.54507956,0.543424045,0.8052758744952481,0.5807310905692844,3,3,3,0.11249999999999996,5142578.3778804885,8120026.852344137,19.0,0.6098364217880113,0.39695798709409924,0.39695798709409924,0.0
GB06,B,Bosnia and Herzegovina,Qatar,0.59925,0.3202,43560.31029979924,153010818.28744173,0.08435720499999999,0.01222406848129101,0.6665180959787724,3,3,3,0.2,5749960.9595735,7956562.55094697,19.0,0.11410304514818953,0.5192513857098965,0.5420884225934562,0.04398069511617772
GC05,C,Brazil,Scotland,1.0,0.07865,32837.92418930541,132066098.6632826,0.855071645,0.01518581350573026,0.4648989095110586,3,2,2,0.11249999999999996,4018540.97266625,6867437.130490695,13.0,0.4219730894995992,0.20569024347614248,0.2060235644916387,0.0016204998830431842
GC06,C,Morocco,Haiti,0.9629,0.2131,30760.946529708424,120805345.53091864,0.5931760399999999,0.704153000087828,0.4700238296327949,2,1,2,0.11249999999999996,3764370.8315730686,6281877.967607769,7.0,0.5992325766157354,0.13630206456514488,0.13630206456514488,0.0
GD05,D,United States,Turkey,1.0,1.0,44147.710085930645,134487677.81592163,1.0,0.65,0.49268684630078063,3,3,3,0.11249999999999996,5402576.021765763,6993359.246427924,19.0,0.7432858947810898,0.2766629112647765,0.2766629112647765,0.0
GD06,D,Paraguay,Australia,0.31705,0.6272,52847.93982746606,175200270.65513012,0.09930108499999998,0.0,0.6886886295768173,3,3,3,0.11249999999999996,6467266.63638616,9110414.074066766,19.0,0.10977563116712946,0.7164449560895381,0.7164449560895381,0.0
GE05,E,Germany,Ecuador,1.0,0.95175,46560.180605814145,144816985.32529184,0.908156125,0.68214535625,0.527262641408501,3,3,3,0.11249999999999996,5697802.101636506,7530483.236915176,19.0,0.7191147337035458,0.36510195529248146,0.36510195529248146,0.0
GE06,E,Curacao,Ivory Coast,0.0024,1.0,33340.236311181834,108712063.24114393,0.99521152,0.0,0.3981119367468775,3,2,2,0.11249999999999996,4080011.418580877,5653027.288539484,13.0,0.4756776060353294,0.07814962161426556,0.07825859073105113,0.0013943652513562057
GF05,F,Netherlands,Tunisia,1.0,0.06715,25775.445802770802,123617674.9583389,0.874718245,0.001197515367025213,0.4238355149134216,3,2,1,0.11249999999999996,3154270.180114077,6428119.097833622,11.0,0.41051400739157584,0.08483172731537716,0.08593847192783019,0.013046352437673513
GF06,F,Japan,Sweden,0.9381,0.31875,46559.47365006161,169424590.7779484,0.4495663450000001,0.001653777275376451,0.6205222522664289,3,4,3,0.11249999999999996,5697715.58792629,8810078.720453316,23.0,0.22835089372457348,0.5590151504726975,0.5590151504726975,0.0
GG05,G,Belgium,New Zealand,1.0,0.78465,31630.50947311387,131104388.60997465,0.662051245,0.76828206425,0.46410660283883054,3,2,2,0.11249999999999996,3870783.59677231,6817428.207718682,13.0,0.6455830806834348,0.15354092878400855,0.15354092878400855,0.0
GG06,G,Egypt,Iran,0.80785,0.15605,48394.52468794494,151284557.16641334,0.42614644999999995,0.0,0.6088278037584447,3,3,3,0.11249999999999996,5922279.958687262,7866796.972653493,19.0,0.24441795641459857,0.5127837863498115,0.5127837863498115,0.0
GH05,H,Spain,Uruguay,1.0,0.9845,45416.68889564546,149818972.92205152,0.9694805000000001,0.660681825,0.5207317671985551,3,4,3,0.11249999999999996,5557867.303604613,7790586.591946678,23.0,0.7147061706637903,0.3529981219788696,0.3529981219788696,0.0
GH06,H,Cape Verde,Saudi Arabia,0.02295,0.9638,33275.22865162953,112434303.30295509,0.8853742849999999,0.0,0.43590314542434433,3,3,2,0.11249999999999996,4072056.1062431633,5846583.771753664,16.0,0.4132144292552001,0.10029953841039997,0.10043754244634458,0.0013759189536837989
GI05,I,France,Norway,1.0,1.0,36529.62339277096,125543652.5573108,1.0,0.65,0.4466719513083174,3,3,3,0.11249999999999996,4470312.662690346,6528269.932980161,19.0,0.7369898089173443,0.13564308288602278,0.13564308288602278,0.0
