match_id,reference_date,broadcast,security,transport,ticket_adjustment,static_attendance,static_tv_viewers,static_ticket_value,static_broadcast_value,static_attractiveness,static_resource_cost,static_risk,dynamic_attendance,dynamic_tv_viewers,dynamic_ticket_value,dynamic_broadcast_value,dynamic_attractiveness,dynamic_resource_cost,dynamic_risk,static_optimization_score,updated_evaluation_score
GA05,2026-06-25,3,2,2,0.11249999999999996,35331.700500701074,175592595.86754224,4323716.848773294,9130814.985112196,0.6004999999999999,13.0,0.29093528450704226,29933.66991258912,109909801.61049876,3663132.855553094,5715309.683745935,0.41943353501683034,13.0,0.737374148285405,0.13417278643715932,0.011230462826786775
GA06,2026-06-25,3,2,3,0.11249999999999996,40803.07854056875,177728558.20634338,4993276.736402101,9241885.026729856,0.6182,16.0,0.28915831431433864,41544.92290089607,149513774.80644968,5084059.939997156,7774716.289935383,0.6081416054769789,16.0,0.13637057708391565,0.1965259785635991,0.45731071457816364
GB05,2026-06-25,3,3,3,0.11249999999999996,45198.684706578504,204501189.5780812,5531189.040967545,10634061.858060222,0.6833,19.0,0.2673491170212766,42023.112383088774,156154362.54507956,5142578.3778804885,8120026.852344137,0.5807310905692844,19.0,0.6098364217880113,0.3869466052248012,0.39695798709409924
GB06,2026-06-25,2,3,3,0.2,43852.46855369862,162514514.09690848,5788525.849088218,8450754.733039241,0.6904,15.0,0.2363316488090533,43560.31029979924,143447642.1444766,5749960.9595735,7459277.391512782,0.6665180959787724,15.0,0.11410304514818953,0.26436092299493175,0.5192513857098965
GC05,2026-06-26,3,2,3,0.11249999999999996,37367.59129441551,197085700.66722462,4572858.984654099,10248456.43469568,0.6177,16.0,0.3202390446967599,34113.183381123104,132066098.6632826,4174600.81626494,6867437.130490695,0.4648989095110586,16.0,0.4219730894995992,0.22491747523017733,0.20569024347614248
GC06,2026-06-26,2,1,2,0.11249999999999996,31860.14555888344,165831817.60025662,3898885.312768361,8623254.515213344,0.5218,7.0,0.3427570448178392,30760.946529708424,120805345.53091864,3764370.8315730686,6281877.967607769,0.4700238296327949,7.0,0.5992325766157354,0.02108810674471394,0.13630206456514488
GD05,2026-06-26,3,3,3,0.11249999999999996,50161.274679170194,211705938.51186836,6138485.988863452,11008708.802617155,0.7464,19.0,0.24627865079726652,44147.710085930645,134487677.81592163,5402576.021765763,6993359.246427924,0.49268684630078063,19.0,0.7432858947810898,0.5095736396559727,0.2766629112647765
GD06,2026-06-26,3,3,3,0.11249999999999996,49050.02592933627,202486729.88962287,6002496.923102526,10529309.954260388,0.7425,19.0,0.2339663831084401,52847.93982746606,175200270.65513012,6467266.63638616,9110414.074066766,0.6886886295768173,19.0,0.10977563116712946,0.46259984650929215,0.7164449560895381
GE05,2026-06-27,3,3,3,0.11249999999999996,46653.67973636106,219448123.4188747,5709244.057737185,11411302.417781485,0.7418,19.0,0.26935684494418455,46560.180605814145,144816985.32529184,5697802.101636506,7530483.236915176,0.527262641408501,19.0,0.7191147337035458,0.48883700664523777,0.36510195529248146
GE06,2026-06-27,3,2,3,0.11249999999999996,36999.150597803906,174147558.1975848,4527771.054406253,9055673.02627441,0.5805,16.0,0.31168363364485985,34635.00276986851,108712063.24114393,4238458.463962658,5653027.288539484,0.3981119367468775,16.0,0.4756776060353294,0.11071336140329015,0.07814962161426556
GF05,2026-06-27,3,2,2,0.11249999999999996,31994.215470358733,189144656.57085222,3915292.11818515,9835522.141684314,0.5847,13.0,0.31356818181818186,26548.709176853925,123617674.9583389,3248898.285517499,6428119.097833622,0.4238355149134216,13.0,0.41051400739157584,0.13788840191094404,0.08483172731537716
GF06,2026-06-27,3,4,3,0.11249999999999996,50307.46562581501,218560349.6927823,6156376.105959112,11365138.18402468,0.7781999999999999,23.0,0.21508637021276597,46559.47365006161,169424590.7779484,5697715.58792629,8810078.720453316,0.6205222522664289,23.0,0.22835089372457348,0.553276496111106,0.5590151504726975
GG05,2026-06-28,3,2,2,0.11249999999999996,33242.68209282013,183087397.2169474,4068073.221108863,9520544.655281264,0.5097,13.0,0.3491852835450313,31630.50947311387,131104388.60997465,3870783.59677231,6817428.207718682,0.46410660283883054,13.0,0.6455830806834348,0.07556273363076411,0.15354092878400855
GG06,2026-06-28,3,3,3,0.11249999999999996,49103.36586932829,191343678.8450114,6009024.39825905,9949871.299940594,0.72,19.0,0.23317644087591244,48394.52468794494,151284557.16641334,5922279.958687262,7866796.972653493,0.6088278037584447,19.0,0.24441795641459857,0.405974955260192,0.5127837863498115
GH05,2026-06-28,3,4,3,0.11249999999999996,57663.43846138235,230896096.37919596,7056563.281711665,12006597.01171819,0.7894,23.0,0.24243635261959,45416.68889564546,149818972.92205152,5557867.303604613,7790586.591946678,0.5207317671985551,23.0,0.7147061706637903,0.6759983601114888,0.3529981219788696
GH06,2026-06-28,3,3,3,0.11249999999999996,45682.69527317284,171340573.06065112,5590419.834054526,8909709.799153859,0.6646,19.0,0.2320157,34567.4705410132,112434303.30295509,4230194.20745649,5846583.771753664,0.43590314542434433,19.0,0.4132144292552001,0.26011878606011135,0.10029953841039997
GI05,2026-06-29,3,3,3,0.11249999999999996,41617.00651378045,198447239.6092121,5092881.172123882,10319256.459679028,0.6479,19.0,0.30510984065934066,36529.62339277096,125543652.5573108,4470312.662690346,6528269.932980161,0.4466719513083174,19.0,0.7369898089173443,0.28328388965646395,0.13564308288602278
GI06,2026-06-29,2,2,3,0.11249999999999996,36553.663321203814,169138577.26409584,4473254.548932317,8795206.017732983,0.5846,12.0,0.31921516697247715,33641.29727032394,118627758.02459191,4116853.7534558927,6168643.417278779,0.46280691636578625,12.0,0.3525560525441635,0.09974424372924272,0.16998563679790524
GJ05,2026-06-29,3,1,1,0.11249999999999996,29186.49260623005,186967126.61873725,3571697.0326874023,9722290.584174337,0.5138,9.0,0.35838912429577463,23975.710695707356,113998483.55220316,2934027.5963871875,5927921.144714564,0.3668961106245993,9.0,0.7370456172831112,0.06346560933000633,-0.035253408399836914
GJ06,2026-06-29,3,3,3,0.11249999999999996,42758.87634027646,204472060.24043453,5232617.492141332,10632547.132502595,0.6970000000000001,19.0,0.2740840024530192,41520.03258002916,169654663.71057823,5081013.986981069,8822042.512950068,0.626555379582176,19.0,0.12497563325481827,0.3600731069133626,0.5397000197595864
GK05,2026-06-30,3,3,3,0.11249999999999996,47895.3150061755,221940745.0625149,5861189.173880727,11540918.743250774,0.7857999999999999,19.0,0.2299445936170213,42815.22971237061,141250231.8066645,5239513.736051354,7345012.053946554,0.5277061119276394,19.0,0.7374024368408982,0.5546198053726675,0.303408391574411
GK06,2026-06-30,3,2,3,0.11249999999999996,42538.60214364271,174330324.40906578,5205661.437328277,9065176.86927142,0.6618,16.0,0.24611851852672392,41442.54618022958,136137402.54699945,5071531.588805595,7079144.932443972,0.5630417157776754,16.0,0.22627063190415736,0.24355331119482077,0.36851401968740677
GL05,2026-06-30,2,1,1,0.11249999999999996,27851.609372784686,161443836.47709057,3408340.696994526,8395079.49680871,0.4963,5.0,0.34471839872278054,25400.727833445282,118556904.9879471,3108414.0686178664,6164959.059373249,0.4677918112598257,5.0,0.6047829312140199,-0.04297356461616992,0.07304430747281859
GL06,2026-06-30,3,2,3,0.11249999999999996,40169.91369733004,185895534.31368107,4915793.188710764,9666567.784311416,0.608,16.0,0.3093871063829787,33195.493411835254,123349806.98826198,4062298.506273339,6414189.963389623,0.43784980102054916,16.0,0.39901248483781293,0.20946732102881027,0.15118215992659434
