match_id,competition,stage,group_id,round_in_group,team_a,team_b,venue,city,country,date,local_kickoff_time,utc_datetime,goals_a,goals_b,source_url,retrieval_date
WC26-A01,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,A,1,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2026-06-11,13:00,2026-06-11T19:00:00+00:00,2,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-A02,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,A,1,South Korea,Czech Republic,Estadio Akron,Guadalajara (Zapopan),Mexico,2026-06-11,20:00,2026-06-12T02:00:00+00:00,2,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-A03,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,A,2,Czech Republic,South Africa,Mercedes-Benz Stadium,Atlanta,United States,2026-06-18,12:00,2026-06-18T16:00:00+00:00,1,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-A04,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,A,2,Mexico,South Korea,Estadio Akron,Guadalajara (Zapopan),Mexico,2026-06-18,19:00,2026-06-19T01:00:00+00:00,1,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-A05,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,A,3,Czech Republic,Mexico,Estadio Azteca,Mexico City,Mexico,2026-06-24,19:00,2026-06-25T01:00:00+00:00,0,3,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-A06,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,A,3,South Africa,South Korea,Estadio BBVA,Monterrey (Guadalupe),Mexico,2026-06-24,19:00,2026-06-25T01:00:00+00:00,1,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-B01,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,B,1,Canada,Bosnia & Herzegovina,BMO Field,Toronto,Canada,2026-06-12,15:00,2026-06-12T19:00:00+00:00,1,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-B02,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,B,1,Qatar,Switzerland,Levi's Stadium,San Francisco Bay Area (Santa Clara),United States,2026-06-13,12:00,2026-06-13T19:00:00+00:00,1,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-B03,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,B,2,Switzerland,Bosnia & Herzegovina,SoFi Stadium,Los Angeles (Inglewood),United States,2026-06-18,12:00,2026-06-18T19:00:00+00:00,4,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-B04,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,B,2,Canada,Qatar,BC Place,Vancouver,Canada,2026-06-18,15:00,2026-06-18T22:00:00+00:00,6,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
